"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|NL","Without sequence","27.2","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|NL","Without sequence","27.3","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|NL","Without sequence","30.1","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|NL","Without sequence","20.87","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|NL","Without sequence","25.56","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|NL","Without sequence","25.58","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|NL","Without sequence","25.81","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|NL","Without sequence","29.9","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|NL","Without sequence","26.33","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|NL","Without sequence","26.38","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|NL","Without sequence","29.9","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|NL","Without sequence","34.9","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|NL","Without sequence","35.8","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|NL","Without sequence","40.4","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|NL","Without sequence","34.15","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|NL","Without sequence","31.0","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|NL","Without sequence","30.0","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|NL","Without sequence","34.3","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|NL","Without sequence","30.5","",""
