"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|NL","Without sequence","29.78","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|NL","Without sequence","40.54","",""
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|NL","Without sequence","45.76","",""
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|NL","Without sequence","47.67","",""
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|NL","Without sequence","49.17","",""
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|NL","Without sequence","44.91","",""
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|NL","Without sequence","39.7","",""
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|NL","Without sequence","39.04","",""
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","BZN|NL","Without sequence","38.4","",""
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","BZN|NL","Without sequence","38.91","",""
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","BZN|NL","Without sequence","47.45","",""
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","BZN|NL","Without sequence","49.84","",""
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","BZN|NL","Without sequence","45.75","",""
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","BZN|NL","Without sequence","44.48","",""
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","BZN|NL","Without sequence","33.0","",""
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","BZN|NL","Without sequence","38.38","",""
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","BZN|NL","Without sequence","34.3","",""
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","BZN|NL","Without sequence","32.99","",""
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","BZN|NL","Without sequence","30.37","",""
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","BZN|NL","Without sequence","29.56","",""
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","BZN|NL","Without sequence","27.05","",""
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","BZN|NL","Without sequence","25.2","",""
